	combination	SumsOfSqs	MeanSqs	F.Model	R2	P.value	P.value.corrected
1	intestine.M <-> intestine.V	0.19987446805723	0.19987446805723	0.817133561919327	0.0241633005477283	0.832167832167832	0.832167832167832
2	intestine.M <-> intestine.MM	1.68168843734615	1.68168843734615	6.10981327755532	0.152327143367039	0.000999000999000999	0.00187312687312687
3	intestine.M <-> intestine.VM	2.37136062395019	2.37136062395019	9.18662655296688	0.212719244039583	0.000999000999000999	0.00187312687312687
4	intestine.M <-> intestine.MMV	1.41573368550041	1.41573368550041	5.32681215569773	0.138983960733761	0.000999000999000999	0.00187312687312687
5	intestine.M <-> intestine.VMV	1.73832002221589	1.73832002221589	6.47106650290813	0.163944556766191	0.000999000999000999	0.00187312687312687
6	intestine.V <-> intestine.MM	1.53661149081415	1.53661149081415	5.680817890447	0.146863954804068	0.000999000999000999	0.00187312687312687
7	intestine.V <-> intestine.VM	2.11756704788706	2.11756704788706	8.37444176652561	0.202406157254816	0.000999000999000999	0.00187312687312687
8	intestine.V <-> intestine.MMV	1.22341676204189	1.22341676204189	4.69501128118053	0.127946854824607	0.000999000999000999	0.00187312687312687
9	intestine.V <-> intestine.VMV	1.56798687747061	1.56798687747061	5.9501221362876	0.156787957491134	0.000999000999000999	0.00187312687312687
10	intestine.MM <-> intestine.VM	0.697165439472995	0.697165439472995	2.46124455939059	0.0675030320312174	0.00599400599400599	0.00749250749250749
11	intestine.MM <-> intestine.MMV	0.6823752665434	0.6823752665434	2.3396107931844	0.0662036378067757	0.001998001998002	0.002997002997003
12	intestine.MM <-> intestine.VMV	0.662430099602618	0.662430099602618	2.24921263266533	0.063808875849357	0.00599400599400599	0.00749250749250749
13	intestine.VM <-> intestine.MMV	0.785266894458846	0.785266894458846	2.8656101020332	0.0798985460969685	0.001998001998002	0.002997002997003
14	intestine.VM <-> intestine.VMV	0.442737944685425	0.442737944685425	1.59899069565449	0.0462149520406478	0.0659340659340659	0.0760777683854607
15	intestine.MMV <-> intestine.VMV	0.28293240496097	0.28293240496097	0.991513682571494	0.0300535977861265	0.420579420579421	0.450620807763665
