	combination	SumsOfSqs	MeanSqs	F.Model	R2	P.value	P.value.corrected
1	intestine.M <-> intestine.V	0.19987446805723	0.19987446805723	0.817133561919327	0.0241633005477283	0.82017982017982	0.829292929292929
2	intestine.M <-> intestine.MM	1.68168843734615	1.68168843734615	6.10981327755532	0.152327143367039	0.000999000999000999	0.00336700336700337
3	intestine.M <-> intestine.VM	2.37136062395019	2.37136062395019	9.18662655296688	0.212719244039583	0.000999000999000999	0.00336700336700337
4	intestine.M <-> intestine.MMV	1.41573368550041	1.41573368550041	5.32681215569773	0.138983960733761	0.000999000999000999	0.00336700336700337
5	intestine.M <-> intestine.VMV	1.73832002221589	1.73832002221589	6.47106650290813	0.163944556766191	0.000999000999000999	0.00336700336700337
6	intestine.M <-> feed.M	1.15322352415311	1.15322352415311	4.95310085226388	0.206783283835076	0.000999000999000999	0.00336700336700337
7	intestine.M <-> feed.V	1.12135009710351	1.12135009710351	4.92421932115315	0.205825705535114	0.003996003996004	0.00727272727272727
8	intestine.M <-> water.M	1.51539996644539	1.51539996644539	6.49209004783959	0.254670763976443	0.000999000999000999	0.00336700336700337
9	intestine.M <-> water.V	1.53627731625044	1.53627731625044	6.60675274144496	0.258008221821575	0.001998001998002	0.00432900432900433
10	intestine.M <-> water.MM	1.66963545695197	1.66963545695197	7.22877848109599	0.275604847031135	0.001998001998002	0.00432900432900433
11	intestine.M <-> water.VM	1.68691522986472	1.68691522986472	7.37999026508257	0.279757126174947	0.000999000999000999	0.00336700336700337
12	intestine.M <-> water.MMV	1.22526132176516	1.22526132176516	5.1069479141847	0.221013520831528	0.00799200799200799	0.0127591706539075
13	intestine.M <-> water.VMV	2.11818736527875	2.11818736527875	9.45752721846198	0.321056385633572	0.000999000999000999	0.00336700336700337
14	intestine.V <-> intestine.MM	1.53661149081415	1.53661149081415	5.680817890447	0.146863954804068	0.000999000999000999	0.00336700336700337
15	intestine.V <-> intestine.VM	2.11756704788706	2.11756704788706	8.37444176652561	0.202406157254816	0.000999000999000999	0.00336700336700337
16	intestine.V <-> intestine.MMV	1.22341676204189	1.22341676204189	4.69501128118053	0.127946854824607	0.000999000999000999	0.00336700336700337
17	intestine.V <-> intestine.VMV	1.56798687747061	1.56798687747061	5.9501221362876	0.156787957491134	0.000999000999000999	0.00336700336700337
18	intestine.V <-> feed.M	1.29820263715068	1.29820263715068	5.85411187791888	0.245413114010666	0.004995004995005	0.00874125874125874
19	intestine.V <-> feed.V	1.2553940679957	1.2553940679957	5.80211979271815	0.243764834529285	0.000999000999000999	0.00336700336700337
20	intestine.V <-> water.M	1.57061511432407	1.57061511432407	7.06256229282649	0.28179729631427	0.001998001998002	0.00432900432900433
21	intestine.V <-> water.V	1.59157747690433	1.59157747690433	7.18722375167083	0.285351963461001	0.000999000999000999	0.00336700336700337
22	intestine.V <-> water.MM	1.70696490648387	1.70696490648387	7.76606514024451	0.301406718409422	0.000999000999000999	0.00336700336700337
23	intestine.V <-> water.VM	1.7266899274747	1.7266899274747	7.94705978888653	0.306279780967336	0.000999000999000999	0.00336700336700337
24	intestine.V <-> water.MMV	1.25610259218104	1.25610259218104	5.49435339924487	0.244254782599322	0.010989010989011	0.0169491525423729
25	intestine.V <-> water.VMV	2.16442817154211	2.16442817154211	10.1609092892324	0.348442813920904	0.000999000999000999	0.00336700336700337
26	intestine.MM <-> intestine.VM	0.697165439472995	0.697165439472995	2.46124455939059	0.0675030320312174	0.012987012987013	0.0196969696969697
27	intestine.MM <-> intestine.MMV	0.6823752665434	0.6823752665434	2.3396107931844	0.0662036378067757	0.001998001998002	0.00432900432900433
28	intestine.MM <-> intestine.VMV	0.662430099602618	0.662430099602618	2.24921263266533	0.063808875849357	0.00799200799200799	0.0127591706539075
29	intestine.MM <-> feed.M	1.4837113880454	1.4837113880454	5.34112697749889	0.219428089029578	0.002997002997003	0.00580270793036751
30	intestine.MM <-> feed.V	1.51183086516756	1.51183086516756	5.54428500584915	0.225889041156745	0.000999000999000999	0.00336700336700337
31	intestine.MM <-> water.M	1.4815046299997	1.4815046299997	5.32180498516535	0.218807978618827	0.002997002997003	0.00580270793036751
32	intestine.MM <-> water.V	1.4858494405561	1.4858494405561	5.35455270328684	0.219858388225057	0.000999000999000999	0.00336700336700337
33	intestine.MM <-> water.MM	1.5896630748372	1.5896630748372	5.76106879154725	0.23266640224811	0.000999000999000999	0.00336700336700337
34	intestine.MM <-> water.VM	1.61928800988694	1.61928800988694	5.91972791494609	0.237551867947788	0.002997002997003	0.00580270793036751
35	intestine.MM <-> water.MMV	1.15409781512016	1.15409781512016	4.01593410062594	0.182410343448101	0.00799200799200799	0.0127591706539075
36	intestine.MM <-> water.VMV	1.97515421133124	1.97515421133124	7.40641084199083	0.270243735478236	0.000999000999000999	0.00336700336700337
37	intestine.VM <-> intestine.MMV	0.785266894458846	0.785266894458846	2.8656101020332	0.0798985460969685	0.002997002997003	0.00580270793036751
38	intestine.VM <-> intestine.VMV	0.442737944685425	0.442737944685425	1.59899069565449	0.0462149520406478	0.0709290709290709	0.0963364993215739
39	intestine.VM <-> feed.M	1.64605948061685	1.64605948061685	6.6596667318743	0.259538317526225	0.003996003996004	0.00727272727272727
40	intestine.VM <-> feed.V	1.70081712682931	1.70081712682931	7.02639171770628	0.269971796087511	0.002997002997003	0.00580270793036751
41	intestine.VM <-> water.M	1.64334110281667	1.64334110281667	6.6327310404013	0.258760216769218	0.001998001998002	0.00432900432900433
42	intestine.VM <-> water.V	1.64567380054028	1.64567380054028	6.66612234381194	0.259724560434784	0.001998001998002	0.00432900432900433
43	intestine.VM <-> water.MM	1.7171077978523	1.7171077978523	6.99973301068382	0.269223265016125	0.000999000999000999	0.00336700336700337
44	intestine.VM <-> water.VM	1.75139875241986	1.75139875241986	7.20979218255233	0.275080097252806	0.000999000999000999	0.00336700336700337
45	intestine.VM <-> water.MMV	1.24261286831203	1.24261286831203	4.87190314034172	0.213008209699376	0.00799200799200799	0.0127591706539075
46	intestine.VM <-> water.VMV	2.14315812688493	2.14315812688493	9.02035721473484	0.310828607242465	0.000999000999000999	0.00336700336700337
47	intestine.MMV <-> intestine.VMV	0.28293240496097	0.28293240496097	0.991513682571494	0.0300535977861265	0.431568431568432	0.45141065830721
48	intestine.MMV <-> feed.M	1.53326556148564	1.53326556148564	5.88423146335647	0.246364697661892	0.001998001998002	0.00432900432900433
49	intestine.MMV <-> feed.V	1.58543980629669	1.58543980629669	6.21300106246929	0.256597728073435	0.004995004995005	0.00874125874125874
50	intestine.MMV <-> water.M	1.51991078792475	1.51991078792475	5.81897981221365	0.244300127801017	0.000999000999000999	0.00336700336700337
