"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"feed.M vs feed.V",1,6159.81684119584,2.55982588687654,0.390227718085884,0.1,1,""
"feed.M vs intestine.M",1,17700.8339154476,6.01547146513171,0.240470041650684,0.001,0.091,""
"feed.M vs intestine.MM",1,22412.177127058,15.5799851298201,0.450549214273221,0.002,0.182,""
"feed.M vs intestine.MMV",1,22326.8577380225,16.0346022604295,0.471126477040463,0.002,0.182,""
"feed.M vs intestine.V",1,18694.5319199652,7.48646938115993,0.293742898209905,0.001,0.091,""
"feed.M vs intestine.VM",1,22470.1747616949,22.2741644966191,0.539663607205026,0.002,0.182,""
"feed.M vs intestine.VMV",1,22483.7001543284,17.0012539876388,0.485732710994956,0.001,0.091,""
"feed.M vs water.M",1,30191.756693941,8.16666948298557,0.671232952814755,0.1,1,""
"feed.M vs water.MM",1,35912.3039674106,10.3288367095633,0.720842655891923,0.1,1,""
"feed.M vs water.MMV",1,28362.2427215904,8.80860264196727,0.745947925342316,0.1,1,""
"feed.M vs water.V",1,29757.3670100132,8.32371871823358,0.675422647055244,0.1,1,""
"feed.M vs water.VM",1,35755.9570270085,9.79244851475972,0.709986229368957,0.1,1,""
"feed.M vs water.VMV",1,36009.6933723521,10.6120490589209,0.679734544701361,0.034,1,""
"feed.V vs intestine.M",1,12627.9590384238,4.5507119690985,0.193230335247173,0.002,0.182,""
"feed.V vs intestine.MM",1,16429.7198997656,12.9274870305077,0.404901488744012,0.001,0.091,""
"feed.V vs intestine.MMV",1,16558.3046281293,13.6226769560259,0.430788227542199,0.002,0.182,""
"feed.V vs intestine.V",1,13195.7864837139,5.68737913024829,0.240101663378437,0.003,0.273,""
"feed.V vs intestine.VM",1,16551.7952151722,19.6766451359326,0.508747464180961,0.002,0.182,""
"feed.V vs intestine.VMV",1,16663.7158822421,14.5464586067588,0.446944436644114,0.003,0.273,""
"feed.V vs water.M",1,25632.3402829726,8.83629716262226,0.688383655401223,0.1,1,""
"feed.V vs water.MM",1,30687.7977386867,11.4474680725845,0.74105788850284,0.1,1,""
"feed.V vs water.MMV",1,24302.51886304,11.2600043677106,0.789621382810163,0.1,1,""
"feed.V vs water.V",1,25415.7748872748,9.14611145633785,0.695727515068985,0.1,1,""
"feed.V vs water.VM",1,30652.8820222888,10.7356842311906,0.728550100745691,0.1,1,""
"feed.V vs water.VMV",1,30472.2689063285,11.0552341422064,0.68857508051808,0.034,1,""
"intestine.M vs intestine.MM",1,9693.6755648175,4.67957945980316,0.120983204190891,0.001,0.091,""
"intestine.M vs intestine.MMV",1,8265.12669143815,4.00148267385619,0.108143846805455,0.001,0.091,""
"intestine.M vs intestine.V",1,2346.17700503621,0.879351873580411,0.0259553924426205,0.908,1,""
"intestine.M vs intestine.VM",1,10407.9015627229,5.68320217566108,0.143214303888681,0.001,0.091,""
"intestine.M vs intestine.VMV",1,9239.9256009003,4.55760421258673,0.121349705556015,0.001,0.091,""
"intestine.M vs water.M",1,27181.7844623222,8.92186572284053,0.319529712355228,0.002,0.182,""
"intestine.M vs water.MM",1,35734.9839033745,11.9103851921175,0.385319856678938,0.003,0.273,""
"intestine.M vs water.MMV",1,25042.5888698817,8.54403909992752,0.32188164987863,0.011,1,""
