"reads.in"	"reads.out"
"feed-M-Rep1_R1.fq.gz"	342227	253406
"feed-M-Rep2_R1.fq.gz"	86234	63654
"feed-M-Rep3_R1.fq.gz"	102122	74159
"feed-V-Rep1_R1.fq.gz"	168993	122756
"feed-V-Rep2_R1.fq.gz"	175164	127289
"feed-V-Rep3_R1.fq.gz"	129146	90615
"M-T1-Rep1_R1.fq.gz"	31931	14454
"M-T1-Rep2_R1.fq.gz"	25325	10237
"M-T1-Rep3_R1.fq.gz"	44871	26327
"M-T1-Rep4_R1.fq.gz"	21468	7715
"M-T1-Rep5_R1.fq.gz"	27148	16325
"M-T1-Rep6_R1.fq.gz"	176023	25338
"M-T5-Rep1_R1.fq.gz"	38009	10545
"M-T5-Rep2_R1.fq.gz"	16815	5979
"M-T5-Rep3_R1.fq.gz"	18955	7270
"M-T5-Rep4_R1.fq.gz"	26474	4933
"M-T5-Rep5_R1.fq.gz"	21406	8786
"M-T5-Rep6_R1.fq.gz"	16273	5933
"M-T9-Rep1_R1.fq.gz"	19308	8917
"M-T9-Rep2_R1.fq.gz"	14419	5414
"M-T9-Rep3_R1.fq.gz"	11736	4140
"M-T9-Rep4_R1.fq.gz"	17434	5759
"M-T9-Rep5_R1.fq.gz"	37008	7946
"M-T9-Rep6_R1.fq.gz"	54490	8023
"MM-T1-Rep1_R1.fq.gz"	155616	132101
"MM-T1-Rep2_R1.fq.gz"	241341	207335
"MM-T1-Rep3_R1.fq.gz"	160224	136280
"MM-T1-Rep4_R1.fq.gz"	78789	65836
"MM-T1-Rep5_R1.fq.gz"	27621	7967
"MM-T1-Rep6_R1.fq.gz"	25514	13537
"MM-T5-Rep1_R1.fq.gz"	71497	46144
"MM-T5-Rep2_R1.fq.gz"	84271	66821
"MM-T5-Rep3_R1.fq.gz"	301350	247655
"MM-T5-Rep4_R1.fq.gz"	167134	142705
"MM-T5-Rep5_R1.fq.gz"	64583	50688
"MM-T5-Rep6_R1.fq.gz"	27412	9527
"MM-T9-Rep1_R1.fq.gz"	66235	55892
"MM-T9-Rep2_R1.fq.gz"	26068	12946
"MM-T9-Rep3_R1.fq.gz"	30518	5804
"MM-T9-Rep4_R1.fq.gz"	20381	9113
"MM-T9-Rep5_R1.fq.gz"	21957	7856
"MM-T9-Rep6_R1.fq.gz"	178673	152565
"MMV-T1-Rep1_R1.fq.gz"	43904	28324
"MMV-T1-Rep2_R1.fq.gz"	258234	219699
"MMV-T1-Rep3_R1.fq.gz"	78006	65961
"MMV-T1-Rep4_R1.fq.gz"	25087	4271
"MMV-T1-Rep5_R1.fq.gz"	31420	15283
"MMV-T1-Rep6_R1.fq.gz"	92101	77445
"MMV-T5-Rep1_R1.fq.gz"	29515	23728
"MMV-T5-Rep2_R1.fq.gz"	36813	26162
"MMV-T5-Rep3_R1.fq.gz"	41484	4399
"MMV-T5-Rep4_R1.fq.gz"	126921	36427
"MMV-T5-Rep5_R1.fq.gz"	54678	27143
"MMV-T5-Rep6_R1.fq.gz"	18417	7698
"MMV-T9-Rep1_R1.fq.gz"	17198	5363
"MMV-T9-Rep2_R1.fq.gz"	40891	14232
"MMV-T9-Rep3_R1.fq.gz"	31815	6053
"MMV-T9-Rep4_R1.fq.gz"	44989	19134
"MMV-T9-Rep5_R1.fq.gz"	41233	16192
"MMV-T9-Rep6_R1.fq.gz"	26168	3712
"negative-1_R1.fq.gz"	122	15
"negative-2_R1.fq.gz"	470	191
"negative-3_R1.fq.gz"	454	74
"positive-1_R1.fq.gz"	366005	270617
"positive-2_R1.fq.gz"	164083	118268
"V-T12-Rep1_R1.fq.gz"	16813	7283
"V-T12-Rep2_R1.fq.gz"	45580	8063
"V-T12-Rep3_R1.fq.gz"	34497	3855
"V-T12-Rep4_R1.fq.gz"	170667	25533
"V-T12-Rep5_R1.fq.gz"	31603	5096
"V-T12-Rep6_R1.fq.gz"	42424	2525
"V-T3-Rep1_R1.fq.gz"	27643	15999
"V-T3-Rep2_R1.fq.gz"	19923	8516
"V-T3-Rep3_R1.fq.gz"	18740	7189
"V-T3-Rep4_R1.fq.gz"	21575	5682
"V-T3-Rep5_R1.fq.gz"	12516	4215
"V-T3-Rep6_R1.fq.gz"	32865	21044
"V-T8-Rep1_R1.fq.gz"	13484	5595
"V-T8-Rep2_R1.fq.gz"	15472	7004
"V-T8-Rep3_R1.fq.gz"	45920	16541
"V-T8-Rep4_R1.fq.gz"	17522	5709
"V-T8-Rep5_R1.fq.gz"	30408	11593
"V-T8-Rep6_R1.fq.gz"	26905	5582
"VM-T12-Rep1_R1.fq.gz"	27371	21505
"VM-T12-Rep2_R1.fq.gz"	18813	11674
"VM-T12-Rep3_R1.fq.gz"	161212	139566
"VM-T12-Rep4_R1.fq.gz"	213346	181935
"VM-T12-Rep5_R1.fq.gz"	29317	4735
"VM-T12-Rep6_R1.fq.gz"	18345	8124
"VM-T3-Rep1_R1.fq.gz"	163746	140890
"VM-T3-Rep2_R1.fq.gz"	202579	174809
"VM-T3-Rep3_R1.fq.gz"	382733	325024
"VM-T3-Rep4_R1.fq.gz"	182671	156342
"VM-T3-Rep5_R1.fq.gz"	34776	6178
"VM-T3-Rep6_R1.fq.gz"	100859	35418
"VM-T8-Rep1_R1.fq.gz"	51587	37602
"VM-T8-Rep2_R1.fq.gz"	90688	77129
"VM-T8-Rep3_R1.fq.gz"	158357	137161
"VM-T8-Rep4_R1.fq.gz"	300717	250751
"VM-T8-Rep5_R1.fq.gz"	189045	162415
"VM-T8-Rep6_R1.fq.gz"	157179	135345
"VMV-T12-Rep1_R1.fq.gz"	20827	7142
"VMV-T12-Rep2_R1.fq.gz"	79440	59653
"VMV-T12-Rep3_R1.fq.gz"	82759	69542
"VMV-T12-Rep4_R1.fq.gz"	88434	76059
"VMV-T12-Rep5_R1.fq.gz"	29317	5209
"VMV-T12-Rep6_R1.fq.gz"	79633	68389
"VMV-T3-Rep1_R1.fq.gz"	286403	246966
"VMV-T3-Rep2_R1.fq.gz"	64613	2457
"VMV-T3-Rep3_R1.fq.gz"	160109	133854
"VMV-T3-Rep4_R1.fq.gz"	22963	7075
"VMV-T3-Rep5_R1.fq.gz"	67775	20402
"VMV-T3-Rep6_R1.fq.gz"	84010	59036
"VMV-T8-Rep1_R1.fq.gz"	246247	203577
"VMV-T8-Rep2_R1.fq.gz"	18969	7437
"VMV-T8-Rep3_R1.fq.gz"	172071	146520
"VMV-T8-Rep4_R1.fq.gz"	111156	94188
"VMV-T8-Rep5_R1.fq.gz"	43306	2676
"VMV-T8-Rep6_R1.fq.gz"	21436	6409
"water-M-T1-Rep1_R1.fq.gz"	30960	23125
"water-M-T5-Rep2_R1.fq.gz"	125209	93765
"water-M-T9-Rep3_R1.fq.gz"	118603	88109
"water-MM-T1-Rep1_R1.fq.gz"	298946	221637
"water-MM-T5-Rep2_R1.fq.gz"	83662	60759
"water-MM-T9-Rep3_R1.fq.gz"	81267	60322
"water-MMV-T1-Rep1_R1.fq.gz"	77606	56619
"water-MMV-T9-Rep2_R1.fq.gz"	299781	222355
"water-V-T12-Rep3_R1.fq.gz"	32207	24127
"water-V-T3-Rep1_R1.fq.gz"	51688	28079
"water-V-T8-Rep2_R1.fq.gz"	100153	73932
"water-VM-T12-Rep3_R1.fq.gz"	76925	56823
"water-VM-T3-Rep1_R1.fq.gz"	86179	63611
"water-VM-T8-Rep2_R1.fq.gz"	86667	63591
"water-VMV-T12-Rep3_R1.fq.gz"	55616	41113
"water-VMV-T3-Rep1_R1.fq.gz"	90750	67656
"water-VMV-T3+12-Rep4_R1.fq.gz"	81130	58948
"water-VMV-T8-Rep2_R1.fq.gz"	294685	217116
