	input	filtered	denoisedF	denoisedR	merged	nochim
MMV-T1-Rep1	43904	28324	28091	28066	27472	26802
MMV-T1-Rep2	258234	219699	219459	219470	219224	219057
MMV-T1-Rep3	78006	65961	65820	65821	65676	65538
MMV-T1-Rep4	25087	4271	3601	3573	2191	1097
MMV-T1-Rep5	31420	15283	14958	14910	14570	14167
MMV-T1-Rep6	92101	77445	77109	77081	76619	76415
MMV-T5-Rep1	29515	23728	23643	23646	23422	23351
MMV-T5-Rep2	36813	26162	25983	25966	25811	25686
MMV-T5-Rep3	41484	4399	3937	3905	3281	2449
MMV-T5-Rep4	126921	36427	36062	35960	34738	32127
MMV-T5-Rep5	54678	27143	25591	25628	22760	20271
MMV-T5-Rep6	18417	7698	6729	6765	5351	3936
MMV-T9-Rep1	17198	5363	4424	4421	3119	1779
MMV-T9-Rep2	40891	14232	12026	12076	6978	2790
MMV-T9-Rep3	31815	6053	5586	5540	4834	4137
MMV-T9-Rep4	44989	19134	16725	16674	12556	8664
MMV-T9-Rep5	41233	16192	14177	14189	10055	6328
MMV-T9-Rep6	26168	3712	3049	2939	1896	961
VMV-T12-Rep1	20827	7142	6269	6256	4598	3065
VMV-T12-Rep2	79440	59653	59256	59213	58275	57033
VMV-T12-Rep3	82759	69542	69187	69178	68723	68457
VMV-T12-Rep4	88434	76059	75996	76012	75902	75875
VMV-T12-Rep5	29317	5209	4536	4502	3339	1957
VMV-T12-Rep6	79633	68389	68259	68291	68181	68127
VMV-T3-Rep1	286403	246966	246786	246843	246631	246523
VMV-T3-Rep2	64613	2457	2130	2103	1853	1420
VMV-T3-Rep3	160109	133854	133361	133356	132700	132235
VMV-T3-Rep4	22963	7075	6172	6072	4708	3021
VMV-T3-Rep5	67775	20402	19522	19457	15041	10640
VMV-T3-Rep6	84010	59036	57890	57932	56304	55227
VMV-T8-Rep1	246247	203577	202618	202656	200894	199453
VMV-T8-Rep2	18969	7437	6153	6111	4122	2644
VMV-T8-Rep3	172071	146520	146205	146246	145998	145860
VMV-T8-Rep4	111156	94188	93682	93745	93322	92991
VMV-T8-Rep5	43306	2676	2190	2178	1701	990
VMV-T8-Rep6	21436	6409	5695	5709	4481	2953
