	input	filtered	denoisedF	denoisedR	merged	nochim
MM-T1-Rep1	155616	132101	131857	131891	131475	131174
MM-T1-Rep2	241341	207335	207102	207172	206806	206386
MM-T1-Rep3	160224	136280	136043	136073	135741	135393
MM-T1-Rep4	78789	65836	65624	65655	65413	65213
MM-T1-Rep5	27621	7967	7571	7573	7169	6804
MM-T1-Rep6	25514	13537	12756	12803	11257	10083
MM-T5-Rep1	71497	46144	44866	44925	42756	41004
MM-T5-Rep2	84271	66821	66370	66385	65827	65291
MM-T5-Rep3	301350	247655	246451	246824	244821	243253
MM-T5-Rep4	167134	142705	142544	142546	142425	142202
MM-T5-Rep5	64583	50688	50250	50249	49235	48273
MM-T5-Rep6	27412	9527	9155	9105	8186	6759
MM-T9-Rep1	66235	55892	55720	55724	55539	55367
MM-T9-Rep2	26068	12946	12059	12035	10838	9703
MM-T9-Rep3	30518	5804	5389	5349	4230	2899
MM-T9-Rep4	20381	9113	8322	8341	7057	5873
MM-T9-Rep5	21957	7856	7103	7139	5331	3449
MM-T9-Rep6	178673	152565	152435	152460	152363	152280
VM-T12-Rep1	27371	21505	21265	21261	20950	20739
VM-T12-Rep2	18813	11674	11316	11335	11030	10654
VM-T12-Rep3	161212	139566	139479	139511	139440	139402
VM-T12-Rep4	213346	181935	181797	181820	181653	181533
VM-T12-Rep5	29317	4735	4352	4330	3873	3335
VM-T12-Rep6	18345	8124	7695	7662	6554	5593
VM-T3-Rep1	163746	140890	140819	140836	140766	140726
VM-T3-Rep2	202579	174809	174719	174755	174673	174625
VM-T3-Rep3	382733	325024	324475	324470	322863	321944
VM-T3-Rep4	182671	156342	156165	156190	155994	155874
VM-T3-Rep5	34776	6178	5543	5448	4308	3287
VM-T3-Rep6	100859	35418	34496	34475	33322	31771
VM-T8-Rep1	51587	37602	36998	37020	36588	36187
VM-T8-Rep2	90688	77129	76907	76911	76655	76397
VM-T8-Rep3	158357	137161	136901	136946	136766	136545
VM-T8-Rep4	300717	250751	249605	249674	248431	247378
VM-T8-Rep5	189045	162415	162220	162267	162094	161958
VM-T8-Rep6	157179	135345	135095	135145	134943	134778
