	input	filtered	denoisedF	denoisedR	merged	nochim
M-T1-Rep1	31931	14454	14241	14255	13971	12791
M-T1-Rep2	25325	10237	9767	9704	8725	6736
M-T1-Rep3	44871	26327	25529	25553	23226	20561
M-T1-Rep4	21468	7715	6387	6358	4714	3184
M-T1-Rep5	27148	16325	16151	16159	15802	14978
M-T1-Rep6	176023	25338	24816	24871	23897	21822
M-T5-Rep1	38009	10545	10255	10218	9913	9588
M-T5-Rep2	16815	5979	5000	5037	3720	2584
M-T5-Rep3	18955	7270	6693	6625	5613	4410
M-T5-Rep4	26474	4933	4188	4132	3351	2438
M-T5-Rep5	21406	8786	8064	7995	7022	6019
M-T5-Rep6	16273	5933	5367	5381	4670	3655
M-T9-Rep1	19308	8917	8086	8038	6713	5519
M-T9-Rep2	14419	5414	4373	4335	2943	2006
M-T9-Rep3	11736	4140	3449	3385	2526	1924
M-T9-Rep4	17434	5759	4801	4763	3480	2553
M-T9-Rep5	37008	7946	7471	7454	6693	5887
M-T9-Rep6	54490	8023	7661	7667	7146	6430
V-T12-Rep1	16813	7283	6849	6827	5905	5141
V-T12-Rep2	45580	8063	7465	7480	6539	5847
V-T12-Rep3	34497	3855	3478	3454	3009	2509
V-T12-Rep4	170667	25533	24876	24888	23560	19681
V-T12-Rep5	31603	5096	4719	4724	4154	3592
V-T12-Rep6	42424	2525	1970	1999	1638	955
V-T3-Rep1	27643	15999	15220	15277	14468	13932
V-T3-Rep2	19923	8516	7339	7229	5840	4630
V-T3-Rep3	18740	7189	6547	6512	5552	4469
V-T3-Rep4	21575	5682	4660	4613	3365	1953
V-T3-Rep5	12516	4215	3226	3227	2374	1468
V-T3-Rep6	32865	21044	20639	20640	20209	19524
V-T8-Rep1	13484	5595	5024	4997	4419	3918
V-T8-Rep2	15472	7004	6522	6469	5813	5257
V-T8-Rep3	45920	16541	15679	15491	13818	10624
V-T8-Rep4	17522	5709	4856	4868	3817	2563
V-T8-Rep5	30408	11593	9346	9309	5134	2214
V-T8-Rep6	26905	5582	5081	5075	4554	3603
