	input	filtered	denoisedF	denoisedR	merged	nochim
M-T1-Rep1	31931	14454	14241	14255	13971	12791
M-T1-Rep2	25325	10237	9767	9704	8725	6736
M-T1-Rep3	44871	26327	25529	25553	23226	20561
M-T1-Rep4	21468	7715	6387	6358	4714	3184
M-T1-Rep5	27148	16325	16151	16159	15802	14978
M-T1-Rep6	176023	25338	24816	24871	23897	21822
M-T5-Rep1	38009	10545	10255	10218	9913	9588
M-T5-Rep2	16815	5979	5000	5037	3720	2584
M-T5-Rep3	18955	7270	6693	6625	5613	4410
M-T5-Rep4	26474	4933	4188	4132	3351	2438
M-T5-Rep5	21406	8786	8064	7995	7022	6019
M-T5-Rep6	16273	5933	5367	5381	4670	3655
M-T9-Rep1	19308	8917	8086	8038	6713	5519
M-T9-Rep2	14419	5414	4373	4335	2943	2006
M-T9-Rep3	11736	4140	3449	3385	2526	1924
M-T9-Rep4	17434	5759	4801	4763	3480	2553
M-T9-Rep5	37008	7946	7471	7454	6693	5887
M-T9-Rep6	54490	8023	7661	7667	7146	6430
MM-T1-Rep1	155616	132101	131857	131891	131475	131174
MM-T1-Rep2	241341	207335	207102	207172	206806	206386
MM-T1-Rep3	160224	136280	136043	136073	135741	135393
MM-T1-Rep4	78789	65836	65624	65655	65413	65213
MM-T1-Rep5	27621	7967	7571	7573	7169	6804
MM-T1-Rep6	25514	13537	12756	12803	11257	10083
MM-T5-Rep1	71497	46144	44866	44925	42756	41004
MM-T5-Rep2	84271	66821	66370	66385	65827	65291
MM-T5-Rep3	301350	247655	246451	246824	244821	243253
MM-T5-Rep4	167134	142705	142544	142546	142425	142202
MM-T5-Rep5	64583	50688	50250	50249	49235	48273
MM-T5-Rep6	27412	9527	9155	9105	8186	6759
MM-T9-Rep1	66235	55892	55720	55724	55539	55367
MM-T9-Rep2	26068	12946	12059	12035	10838	9703
MM-T9-Rep3	30518	5804	5389	5349	4230	2899
MM-T9-Rep4	20381	9113	8322	8341	7057	5873
MM-T9-Rep5	21957	7856	7103	7139	5331	3449
MM-T9-Rep6	178673	152565	152435	152460	152363	152280
MMV-T1-Rep1	43904	28324	28091	28066	27472	26802
MMV-T1-Rep2	258234	219699	219459	219470	219224	219057
MMV-T1-Rep3	78006	65961	65820	65821	65676	65538
MMV-T1-Rep4	25087	4271	3601	3573	2191	1097
MMV-T1-Rep5	31420	15283	14958	14910	14570	14167
MMV-T1-Rep6	92101	77445	77109	77081	76619	76415
