	input	filtered	denoisedF	denoisedR	merged	nochim
water-M-T1-Rep1	30960	23125	22934	23007	22667	22619
water-M-T5-Rep2	125209	93765	93523	93634	93121	92802
water-M-T9-Rep3	118603	88109	87864	88019	87543	87364
water-MM-T1-Rep1	298946	221637	220537	221059	218808	218032
water-MM-T5-Rep2	83662	60759	60401	60490	59756	59682
water-MM-T9-Rep3	81267	60322	59898	59991	59345	59244
water-MMV-T1-Rep1	77606	56619	56144	56267	55405	55291
water-MMV-T9-Rep2	299781	222355	221376	221776	219742	219062
water-V-T12-Rep3	32207	24127	23945	24004	23623	23570
water-V-T3-Rep1	51688	28079	27941	27925	27570	27527
water-V-T8-Rep2	100153	73932	73704	73786	73333	73117
water-VM-T12-Rep3	76925	56823	56496	56613	55873	55776
water-VM-T3-Rep1	86179	63611	63010	63185	62150	62019
water-VM-T8-Rep2	86667	63591	63198	63206	62379	62293
water-VMV-T12-Rep3	55616	41113	40759	40800	40255	40164
water-VMV-T3-Rep1	90750	67656	67308	67457	66802	66687
water-VMV-T3+12-Rep4	81130	58948	58593	58677	57907	57773
water-VMV-T8-Rep2	294685	217116	216210	216468	214656	214100
