"Var1"	"Freq"
"1"	"250"	358
"2"	"251"	19
"3"	"252"	21
"4"	"253"	18
"5"	"254"	13
"6"	"255"	29
"7"	"256"	15
"8"	"257"	30
"9"	"258"	30
"10"	"259"	22
"11"	"260"	118
"12"	"261"	28
"13"	"262"	33
"14"	"263"	20
"15"	"264"	28
"16"	"265"	22
"17"	"266"	26
"18"	"267"	23
"19"	"268"	25
"20"	"269"	34
"21"	"270"	12
"22"	"271"	17
"23"	"272"	20
"24"	"273"	27
"25"	"274"	17
"26"	"275"	28
"27"	"276"	27
"28"	"277"	22
"29"	"278"	24
"30"	"279"	18
"31"	"280"	18
"32"	"281"	30
"33"	"282"	26
"34"	"283"	21
"35"	"284"	30
"36"	"285"	26
"37"	"286"	16
"38"	"287"	33
"39"	"288"	19
"40"	"289"	31
"41"	"290"	23
"42"	"291"	21
"43"	"292"	18
"44"	"293"	12
"45"	"294"	16
"46"	"295"	17
"47"	"296"	19
"48"	"297"	25
"49"	"298"	19
"50"	"299"	34
"51"	"300"	23
"52"	"301"	21
"53"	"302"	108
"54"	"303"	22
"55"	"304"	15
"56"	"305"	12
"57"	"306"	21
"58"	"307"	29
"59"	"308"	18
"60"	"309"	24
"61"	"310"	27
"62"	"311"	16
"63"	"312"	20
"64"	"313"	25
"65"	"314"	24
"66"	"315"	29
"67"	"316"	22
"68"	"317"	14
"69"	"318"	31
"70"	"319"	26
"71"	"320"	28
"72"	"321"	15
"73"	"322"	20
"74"	"323"	41
"75"	"324"	16
"76"	"325"	28
"77"	"326"	26
"78"	"327"	29
"79"	"328"	23
"80"	"329"	26
"81"	"330"	27
"82"	"331"	26
"83"	"332"	34
"84"	"333"	29
"85"	"334"	28
"86"	"335"	28
"87"	"336"	24
"88"	"337"	24
"89"	"338"	17
"90"	"339"	25
"91"	"340"	24
"92"	"341"	22
"93"	"342"	22
"94"	"343"	30
"95"	"344"	21
"96"	"345"	17
"97"	"346"	34
"98"	"347"	60
"99"	"348"	48
"100"	"349"	35
"101"	"350"	47
"102"	"351"	41
"103"	"352"	61
"104"	"353"	41
"105"	"354"	62
"106"	"355"	90
"107"	"356"	107
"108"	"357"	187
"109"	"358"	476
"110"	"359"	121
"111"	"360"	74
"112"	"361"	48
"113"	"362"	24
"114"	"363"	25
"115"	"364"	24
"116"	"365"	16
"117"	"366"	23
"118"	"367"	11
"119"	"368"	22
"120"	"369"	19
"121"	"370"	15
"122"	"371"	15
"123"	"372"	18
"124"	"373"	14
"125"	"374"	17
"126"	"375"	18
"127"	"376"	16
"128"	"377"	12
"129"	"378"	15
"130"	"379"	18
"131"	"380"	17
"132"	"381"	16
"133"	"382"	17
"134"	"383"	29
"135"	"384"	17
"136"	"385"	5
"137"	"386"	13
"138"	"387"	20
"139"	"388"	6
"140"	"389"	15
"141"	"390"	16
"142"	"391"	11
"143"	"392"	16
"144"	"393"	16
"145"	"394"	18
"146"	"395"	11
"147"	"396"	14
"148"	"397"	18
"149"	"398"	19
"150"	"399"	16
"151"	"400"	38
"152"	"401"	177
"153"	"402"	1311
"154"	"403"	475
"155"	"404"	338
"156"	"405"	302
"157"	"406"	261
"158"	"407"	411
"159"	"408"	72
"160"	"409"	83
"161"	"410"	39
"162"	"411"	45
"163"	"412"	34
"164"	"413"	26
"165"	"414"	26
"166"	"415"	33
"167"	"416"	26
"168"	"417"	44
"169"	"418"	27
"170"	"419"	56
"171"	"420"	56
"172"	"421"	165
"173"	"422"	738
"174"	"423"	66
"175"	"424"	129
"176"	"425"	37
"177"	"426"	337
"178"	"427"	3203
"179"	"428"	506
"180"	"429"	24
"181"	"430"	20
"182"	"431"	10
"183"	"432"	14
"184"	"433"	13
"185"	"434"	14
"186"	"435"	17
"187"	"436"	22
"188"	"437"	22
"189"	"438"	13
"190"	"439"	11
"191"	"440"	18
"192"	"441"	10
"193"	"442"	18
"194"	"443"	10
"195"	"444"	13
"196"	"445"	12
"197"	"446"	17
"198"	"447"	22
"199"	"448"	17
"200"	"449"	10
"201"	"450"	10
"202"	"451"	13
"203"	"452"	9
"204"	"453"	10
"205"	"454"	14
"206"	"455"	9
"207"	"456"	11
"208"	"457"	15
"209"	"458"	15
